Sección;Código;Descripción;PVR;PVP;Promoción
Páginas 094-095;47470303;Máscara para pestañas Eternal Noir Couture x 12 g;7600,00;9499,99;
Páginas 094-095;47470401;Máscara para pestañas Ultra Volumen ETERNAL x 12g;7600,00;9499,99;
Páginas 094-095;47930003/8;Labial mate Eternal x 4 g;6400,00;7999,99;
Páginas 094-095;47563001;Base líquida Eternal natural;15200,00;18999,99;
Páginas 094-095;47563002;Base líquida Eternal beige;15200,00;18999,99;
Páginas 094-095;47563102;Iluminador facial Champagne Eternal x 9 gr;10400,00;12999,99;
Páginas 094-095;47582002;Contouring en barra Eternal Claro;5840,00;7299,99;
Páginas 094-095;47582003;Contouring en barra Eternal Oscuro;5840,00;7299,99;
Páginas 094-095;47582101;Corrector de ojeras Eternal claro x 5 g;5600,00;6999,99;
Páginas 094-095;47582102;Corrector de ojeras Eternal medio x 5g;5600,00;6999,99;
Páginas 096-097;16074002;Serum para contorno de ojos Eternal x 15 g;7813,00;9999,99;
Páginas 096-097;16103019;Agua micelar bifásica Eternal x 100ml;7813,00;9999,99;
Páginas 096-097;16103020;Crema para manos Eternal x 80 g;6797,00;8699,99;
Páginas 096-097;16074004;Suero Eternal x 25gr;9375,00;11999,99;
Páginas 096-097;16103011;Crema para rostro día Eternal;15625,00;19999,99;
Páginas 096-097;16103012;Crema para rostro noche Eternal;15625,00;19999,99;
Páginas 096-097;16103021;Crema para rostro con FPS 50 Eternal x 70 g;18750,00;23999,99;
Páginas 098-099;16071045;Crema p/rostro +45 Millanel AntiAge x 50 g.;8594,00;10999,99;
Páginas 098-099;16071060;Crema p/rostro +60 Millanel AntiAge x 50g;8594,00;10999,99;
Páginas 098-099;16071070;Crema p/rostro +70 Millanel AntiAge x 50g;8594,00;10999,99;
Páginas 098-099;16072000;Crema cont de ojos Millanel AntiAge x 25g;7032,00;8999,99;
Páginas 098-099;16072001;Crema para rostro despigmentante AntiAge x 70gr;6250,00;7999,99;
Páginas 100-101;16019201;Emulsión Corporal Millanel Antiage x 240 g;8594,00;10999,99;
Páginas 100-101;16073000;Serum p/rostro Millanel AntiAge x 18g;7032,00;8999,99;
Páginas 100-101;16190006;Roll on para bolsas y ojeras Millanel Antiage x 15 g;7813,00;9999,99;
Páginas 100-101;16022001;Serum concentrado Hydra x 30 ml;7032,00;8999,99;
Páginas 100-101;16080045;Bruma refrescante con Acido Hialuronico Hydra x 75ml;5469,00;6999,99;
Páginas 100-101;16104001;Crema para rostro de día Hydra x 50 g;6094,00;7799,99;
Páginas 100-101;16104002;Crema para rostro de noche Hydra x 50 g;6094,00;7799,99;
Páginas 100-101;47305001;Brillo labial Hydra x 3.4 g - Restyling;7600,00;9499,99;
Páginas 102-103;16103401;Crema para rostro de día Vitagen x 50g;8204,00;10499,99;
Páginas 102-103;16103402;Crema para rostro de noche Vitagen x 50g;8204,00;10499,99;
Páginas 102-103;16103403;Crema para manos Vitagen x 80g;5860,00;7499,99;
Páginas 102-103;16103404;Booster concentrado Vitagen x 10 ml;6250,00;7999,99;
Páginas 102-103;16055001;Tonico exfoliante Clarificante MIA x100ml;3750,00;4799,99;
Páginas 102-103;16055002;Espuma de Limpieza MIA x 55 ml;7032,00;8999,99;
Páginas 102-103;16055003;Crema Facial en Gel MIA x 50g;5079,00;6499,99;
Páginas 102-103;16055004;Agua Micelar Mia x 210ml;6485,00;8299,99;
Páginas 102-103;16055005;Serum facial MIa x 30 g;5079,00;6499,99;
Páginas 104-105;16053101;Gel descongestivo para párpados Millanel Care x 50 g;3907,00;4999,99;
Páginas 104-105;16103299;Crema para rostro nutritiva noche Millanel Care x 50 gr;3907,00;4999,99;
Páginas 104-105;16103300;Crema p/ rostro Antiedad día Millanel Care x 50gr;3907,00;4999,99;
Páginas 104-105;16103301;Crema p/rostro Antiedad noche Millanel Care x 50gr;3907,00;4999,99;
Páginas 104-105;16103302;Crema p/rostro Aclarante Millanel Care x 50gr;3907,00;4999,99;
Páginas 104-105;16103303;Crema p/rostro Humectante Millanel Care x 50gr;3907,00;4999,99;
Páginas 104-105;50001042;Pads Descongestivos set x 2 u;4800,00;5999,99;
Páginas 104-105;16053023;Serum regenerador antiedad Millanel Care x 30g;3516,00;4499,99;
Páginas 104-105;16053024;Serum iluminador revitalizante Millanel Care x 30g;3516,00;4499,99;
Páginas 106-107;16051003;Leche de Limpieza Millanel Care x 120 gr;3907,00;4999,99;
Páginas 106-107;16103307;Crema de Limpieza Millanel Care x 50 gr;3829,00;4899,99;
Páginas 106-107;16303003;Gel de limpieza Cleanser Millanel Care x 120gr;4532,00;5799,99;
Páginas 106-107;47086404;Cepillo facial;5600,00;6999,99;
Páginas 106-107;16052004;Tónico astringente Millanel Care x 100ml;3516,00;4499,99;
Páginas 106-107;16053004;Loción desmaquillante Millanel Care x 100ml;3516,00;4499,99;
Páginas 106-107;16053013;Tónico hidratante Millanel Care x 100ml;3516,00;4499,99;
Páginas 106-107;16103308;Gel exfoliante para rostro Millanel Care x 50g;3907,00;4999,99;
Páginas 108-109;16011009;Crema de manos Vita C x 80 g;4688,00;5999,99;
Páginas 108-109;16017003;Crema para rostro Vita C x 50 g;5860,00;7499,99;
Páginas 108-109;16074003;Serum Facial Vita C x 32 g;8204,00;10499,99;
Páginas 108-109;16080060;Bruma Facial Hidratante con Agua de Rosas Millanel Care x150;4688,00;5999,99;
Páginas 108-109;16080065;Suero Hidratante p/rostro Millanel Care Agua de Rosas X18 g;5860,00;7499,99;
Páginas 108-109;16080070;Crema para rostro Millanel Care Agua de Rosas x 50g;5860,00;7499,99;
Páginas 108-109;16080080;Leche de Limpieza 2 en1 Millanel Care Agua de Rosas;8204,00;10499,99;
Páginas 110-111;05058010;Jabón micelar para cuerpo & rostro Millanel Care x 90g;4000,00;4999,99;
Páginas 110-111;16053020;Agua Micelar Millanel Care x 100 ml;3907,00;4999,99;
Páginas 110-111;16053021;Bruma hidratante/agua termal Millanel Care x 125ml;5079,00;6499,99;
Páginas 110-111;16053022;Agua Micelar Millanel Care x 250 ml;6641,00;8499,99;
Páginas 110-111;16814100;Serum facial Pistache x 30gr;5469,00;6999,99;
Páginas 110-111;16814101;Body Cream Pistache x 160gr;6250,00;7999,99;
Páginas 110-111;47814103;Balsamo Labial Pistache x 4,5gr;3200,00;3999,99;
Páginas 112-113;16024001;Espuma de limpieza Pure Skin;3516,00;4499,99;
Páginas 112-113;16024002;Gel Exfoliante Pure Skin;3907,00;4999,99;
Páginas 112-113;16024004;Crema gel hidratante Pure Skin;5704,00;7299,99;
Páginas 112-113;16024003;Gel secativo puntual Pure Skin x15g;3125,00;3999,99;
Páginas 112-113;16024005;Barra secativa Pure Skin 5gr;3125,00;3999,99;
Páginas 114-115;05116001/6;Colonia NITRO x 118ml;5600,00;6999,99;
Páginas 114-115;05111104/14;Colonia LOL x 118 ml;5600,00;6999,99;
Páginas 114-115;80016004;Bolsa de Regalo Especial para Vos;1470,00;1690,00;
Páginas 116-117;05080002/7;Body Splash VIVA! x 80 ml;3600,00;4499,99;
Páginas 116-117;16013301/3;Crema para manos VIVA!;2735,00;3499,99;
Páginas 116-117;16026512;Emulsion corporal 3 en 1 Viva x 500g;9375,00;11999,99;
Páginas 116-117;80016006;Bolsa Millanel Pink;1470,00;1690,00;
Páginas 118-119;01110025;Eau de Cologne Champions x 55ml;7648,00;12999,99;
Páginas 118-119;01110026;Eau de cologne Champions EL DIEZ x 55 ml - Nuevo;7648,00;12999,99;
Páginas 120-121;40940792;Botella AFA 750 ml - Nuevo;8800,00;10999,99;
Páginas 120-121;40940793;Vaso de café AFA 500 ml - Nuevo;8800,00;10999,99;
Páginas 120-121;40001072;Bombilla plana de acero inoxidable;5600,00;6999,99;
Páginas 120-121;40006068;Filtro para bombilla x 2 un.;1840,00;2299,99;
Páginas 120-121;40940790;Mate AFA - Nuevo;12800,00;15999,99;
